,title,price,date,review
300,세가 소닉 매니아 플러스 SWITCH,"26,360",2018.07,29
301,니폰이치 소프트웨어 데스티니 커넥트 SWITCH,"22,190",2019.05,27
302,Nintendo 닌텐도 라보 토이콘 04: VR 키트 슬림 버전 바주카 SWITCH,"36,620",2019.04,22
303,TT 게임즈 레고 DC 슈퍼 빌런 SWITCH,"26,240",2018.11,32
304,빅벤 TT 아일 오브 맨 2 SWITCH,"52,340",2020.05,3
305,팀 17 무빙아웃 SWITCH,"43,880",2020.04,58
306,리틀 프렌즈 -독스 & 캣츠- SWITCH,"53,050",2019.04,40
307,505게임즈 고스트러너 SWITCH,"36,880",2021.01,8
308,Furyu 모델 데뷔 #니콜라 SWITCH,"47,600",2020.04,16
309,코에이 테크모 무쌍 오로치 3 SWITCH,"48,800",2018.09,65
310,Nintendo 고 베케이션 SWITCH,"50,700",2018.07,16
311,유비소프트 레이맨 레전드 데피니티브 에디션 SWITCH,"22,740",2017.12,31
312,Nintendo 슈퍼 스매시브라더스 얼티밋 파이터 패스 Vol.2 SWITCH,"32,076",2020.01,21
313,세가 블레이드 아크스 리벨리온 프롬 샤이닝 SWITCH,"41,620",2019.03,5
314,나츠메아타리 하베스트 문: 매드 대쉬 SWITCH,"26,300",2019.11,2
315,거스트 루루아의 아틀리에 ~ 알란드의 연금술사 4 ~ SWITCH,"55,010",2019.05,80
316,캡콤 메가맨 11 운명의 톱니바퀴 SWITCH,"46,000",2018.10,1
